Episode,Character,Line
Space Pilot 3000,Fry, [voice-over] Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.
Space Pilot 3000,Fry, And that's how you play the game!
Space Pilot 3000,Boy," You stink, loser!"
Space Pilot 3000,Panucci," Hey, Fry. Pizza goin' out! C'mon!!"
Space Pilot 3000,Fry," Michelle, baby! Where you going?"
Space Pilot 3000,Michelle," It's not working out, Fry. [Next to her is a guy with his arm around her. The cab pulls away.] [shouting; from cab] I put your stuff out on the sidewalk!"
Space Pilot 3000,Fry," I hate my life, I hate my life, I hate my life."
Space Pilot 3000,Bike Thief, Happy new year!
Space Pilot 3000,Fry," Hello? Pizza delivery for, uh ... [He reads the delivery note.] ... Icy Wiener? Aw, crud! I always thought at this point in my life I'd be the one making the crank calls! [He sits down on the chair, puts his feet on the desk and opens a can of beer.] Here's to another lousy millennium."
Space Pilot 3000,Crowd, [chanting] Ten!
Space Pilot 3000,Crowd, [chanting] Neuf!
Space Pilot 3000,Crowd, [chanting] Otto!
Space Pilot 3000,Crowd, [chanting] Saba!
Space Pilot 3000,Crowd, [chanting] Eksi!
Space Pilot 3000,Crowd, [chanting] Wu!
Space Pilot 3000,Crowd, [chanting] Char!
Space Pilot 3000,Crowd, [chanting] Thathu!
Space Pilot 3000,Crowd, [chanting] Nee!
Space Pilot 3000,Crowd, [chanting] One!
Space Pilot 3000,Fry, What the--?
Space Pilot 3000,Fry," My God! It's the future. My parents, my co-workers, my girlfriend; I'll never see any of them again. Yahoo!"
Space Pilot 3000,Terry, [melodramatically] Welcome to the world of tomorrow!
Space Pilot 3000,Lou, Why do you always have to say it that way?
Space Pilot 3000,Terry," Haven't you ever heard of a little thing called showmanship? [He turns to Fry.] [dramatically] Come, your destiny awaits!"
Space Pilot 3000,Lou, Have a nice future.
Space Pilot 3000,Fry, Cool! Just like in Star Trek! [The door closes on his head.] Ow!
Space Pilot 3000,Leela," Good afternoon, sir. [Fry is impressed with what he sees. Leela turns around. She has one huge eye in the middle of her face. Fry screams.] Name?"
Space Pilot 3000,Fry," Uh, Fry."
Space Pilot 3000,Leela," I'm Leela. Now, it's New Year's Eve so I'd like to decide your fate quickly and get out of here."
Space Pilot 3000,Fry, Can I ask you a question?
Space Pilot 3000,Leela, As long as it's not about my eye.
Space Pilot 3000,Fry, Uh...
Space Pilot 3000,Leela, Is it about my eye?
Space Pilot 3000,Fry, Sort of.
Space Pilot 3000,Leela, Just ask the question.
Space Pilot 3000,Fry, What's with the eye?
Space Pilot 3000,Leela," I'm an alien, alright? Now let's drop the subject."
Space Pilot 3000,Fry," Cool, an alien! Has your race taken over the Earth?"
Space Pilot 3000,Leela," No, I just work here."
Space Pilot 3000,Fry, Wait a minute! Is that blimp accurate?
Space Pilot 3000,Leela," Yep. It's December 31st, 2999."
Space Pilot 3000,Fry, My God! A million years!
Space Pilot 3000,Leela, I'm sure this must be very upsetting for you.
Space Pilot 3000,Fry," Y'know, I guess it should be but, actually, I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me."
Space Pilot 3000,Leela," Well, at least here you'll be treated with dignity. Now strip naked and get on the probulator."
Space Pilot 3000,Leela, Interesting. Your DNA test shows one living relative. He's your great-great-great-great-great-great-great...
